reporting_country,imported,y_m,y_s,y_l,y_u,SI
ES,369,264.1016666666667,122.29375942015284,141.80790724651385,386.3954260868195,0.542448421922756
FR,176,205.51725,112.99243403782346,92.52481596217653,318.50968403782343,0.6298566229093617
IT,125,160.5495,108.29092878793927,52.25857121206073,268.84042878793923,0.668513982105846
DE,89,138.36208333333335,88.76665744698984,49.595425886343506,227.1287407803232,0.5631919716897972
PT,18,17.668166666666664,25.46988615524034,-7.801719488573674,43.138052821907,0.6266932699092095
AT,50,73.09208333333333,60.01004913898658,13.082034194346754,133.1021324723199,0.7534901039533412
SE,3,2.898833333333333,9.453650448993299,-6.554817115659966,12.352483782326633,0.9828497160455457
IE,19,44.929249999999996,52.65701262892781,-7.727762628927813,97.58626262892781,0.5842135381430774
NO,5,11.63325,24.930924381943512,-13.297674381943512,36.564174381943516,0.6012054168608061
EL,5,14.628833333333334,29.748037076299006,-15.119203742965672,44.37687040963234,0.5094546288198484
SK,2,4.021333333333334,13.006490714991756,-8.985157381658421,17.02782404832509,0.6643046944198405
LU,2,3.9535,17.148528881047838,-13.195028881047838,21.102028881047836,0.6718736877467036
MT,2,5.974833333333334,12.706323104441777,-6.731489771108444,18.681156437775112,0.5015778804154737
HU,3,4.656333333333333,11.455984452071007,-6.799651118737674,16.11231778540434,0.7836649397013365
CZ,1,1.8941666666666668,7.349445528176961,-5.455278861510294,9.243612194843628,0.6910452058738842
RO,1,3.0328333333333335,10.233654373389124,-7.20082104005579,13.266487706722458,0.495929247427367
