term,imported,y_m,y_sd,y_hdi_5,y_hdi_95,y_l,y_u,SI
2012-1st,16,36.740916666666664,6.809096305168223,24,46,29.577222286620074,43.90461104671325,0.86
2012-2nd,22,39.203916666666665,7.0619167364856095,26,49,31.787401855302694,46.62043147803063,0.86
2012-3rd,70,48.942083333333336,9.086696997610787,34,62,39.50078826084419,58.383378405822484,0.86
2012-4th,32,32.31158333333333,6.156283984113758,21,41,25.80070127434121,38.82246539232545,0.86
2013-1st,150,106.11125,12.543406240099484,86,126,93.21324568502214,119.00925431497785,0.86
2013-2nd,131,120.0675,12.633069450850018,98,139,107.07983247427161,133.0551675257284,0.86
2013-3rd,180,146.79508333333334,14.689109088926697,120,168,131.75137616952827,161.8387904971384,0.86
2013-4th,90,125.19483333333334,12.772961284378114,103,144,112.06727397407685,138.32239269258983,0.86
2014-1st,52,89.18816666666666,11.219652102697104,70,106,77.6139164890912,100.76241684424213,0.86
2014-2nd,100,110.80566666666667,11.96371184968203,89,128,98.48735674210627,123.12397659122706,0.86
2014-3rd,192,126.58208333333333,13.740806465647818,103,147,112.48667879280714,140.67748787385952,0.86
2014-4th,54,71.06091666666667,9.505798537018807,54,85,61.200520054769505,80.92131327856384,0.86
2015-1st,228,234.27033333333333,18.15032377733858,203,262,215.7654114811164,252.77525518555026,0.86
2015-2nd,301,249.46041666666667,19.014505861571113,216,278,230.0913127302172,268.8295206031162,0.86
2015-3rd,371,304.62691666666666,20.95368445309135,271,339,283.31863413869695,325.93519919463637,0.86
2015-4th,274,233.65558333333334,18.143675495694236,202,261,215.15730976276075,252.15385690390593,0.86
2016-1st,449,325.65133333333335,24.01197475335079,285,361,301.2847605051042,350.0179061615625,0.86
2016-2nd,478,300.71791666666667,24.883927456487296,259,338,275.479391135301,325.95644219803233,0.86
2016-3rd,470,340.076,24.47118490524451,297,376,315.25021701987714,364.9017829801229,0.86
2016-4th,237,241.67991666666666,18.528369149128824,210,270,222.79694944265947,260.56288389067385,0.86
2017-1st,277,277.2705833333333,19.72231480649239,244,308,257.1936704519626,297.34749621470405,0.86
2017-2nd,369,327.895,22.05668776131176,289,361,305.48371416380985,350.3062858361901,0.86
2017-3rd,428,357.2989166666667,22.837401315088123,317,392,334.1069172767002,380.4909160566332,0.86
2017-4th,260,264.6254166666667,20.064270166801208,230,295,244.20654842498712,285.0442849083463,0.86
2018-1st,260,239.70416666666668,19.415942314814963,205,268,219.93362627697334,259.47470705636,0.86
2018-2nd,356,308.90133333333335,22.699646066746404,271,344,285.84708919170856,331.95557747495815,0.86
2018-3rd,401,376.11475,25.47526740005228,334,414,350.28488452506934,401.9446154749307,0.86
2018-4th,435,382.4765,24.668143040839805,341,419,357.4537588842818,407.4992411157182,0.86
2019-1st,556,411.52183333333335,26.793404473966266,367,453,384.3738307844887,438.669835882178,0.86
2019-2nd,675,452.04175,26.34244054001388,405,491,425.34471138510776,478.7387886148922,0.86
2019-3rd,965,542.1826666666667,30.399297681945807,493,592,511.4287709098425,572.9365624234908,0.86
2019-4th,789,426.2115,26.623944756866265,381,467,399.2329571682554,453.1900428317446,0.86
2020-1st,381,363.1616666666667,27.673390297460042,318,407,335.13367829432826,391.1896550390051,0.86
2020-2nd,78,81.19175,12.707254434803504,59,99,68.12989749031813,94.25360250968187,0.86
2020-3rd,17,27.14325,7.092077465089713,15,37,19.696574460031922,34.58992553996807,0.86
2020-4th,8,103.87325,13.833137187113413,81,125,89.68551473800822,118.06098526199177,0.86
2021-1st,13,24.811416666666666,6.634268585135985,14,34,17.822550006652317,31.800283326681015,0.86
2021-2nd,30,81.65216666666667,13.7857116358045,58,101,67.5118569559838,95.79247637734954,0.86
2021-3rd,71,39.81816666666667,8.076804440632582,27,52,31.386764151155724,48.249569182177616,0.86
2021-4th,86,17.703666666666667,6.352901165784198,7,26,10.996167426004106,24.41116590732923,0.86
