country,year_x,imported_x,y_m_x,y_s_x,year_y,imported_y,y_m_y,y_s_y
BR,2018,6.0,8.78,15.63,2025,0.0,42.64,35.5
CU,2018,1.0,1.27,5.14,2025,0.0,8.68,16.64
ER,2018,2.0,2.55,7.88,2025,0.0,8.59,18.5
ID,2018,2.0,1.85,4.7,2025,0.0,25.53,27.97
IN,2018,6.0,10.59,19.14,2025,0.0,34.26,30.75
KE,2018,18.0,13.85,17.0,2025,0.0,8.55,21.51
MY,2018,1.0,1.29,4.27,2025,0.0,8.61,22.86
PH,2018,6.0,6.36,15.82,2025,0.0,25.68,31.95
SN,2018,1.0,1.01,3.75,2025,0.0,17.41,24.26
SO,2018,2.0,1.61,5.06,2025,0.0,8.54,19.0
TH,2018,23.0,35.89,43.5,2025,0.0,102.02,165.7
TZ,2018,4.0,3.96,9.41,2025,0.0,8.6,19.36
VN,2018,1.0,1.37,5.71,2025,0.0,11.4,110.36
